urn,author,date
urn:cts:greekLit:tlg0121,"Anyte, of Tegea",400 BCE/300 BCE
urn:cts:greekLit:tlg1150,"Aphareus, Tragicus, 4. Jh. v. Chr",400 BCE
urn:cts:greekLit:tlg1151,"Aphrodisius, Thespiensis, ca. 4.Jh.v.Chr",400 BCE
urn:cts:greekLit:tlg4100,"Aphthonius, 4th cent.",400 CE-500 CE
urn:cts:greekLit:tlg1152,"Apion, ca. 25 B.C.-ca. 45 A.D.",100 BCE-0 CE
urn:cts:greekLit:tlg1162,"Apollas, Ponticus, ca. v3. Jh",300 BCE
urn:cts:greekLit:tlg0122,"Apollinarius, Epigrammaticus, 2. Jh. n. Chr.",200 CE
urn:cts:greekLit:tlg1164,"Apollodorus, Artemita, ca. v1. Jh",100 BCE
urn:cts:greekLit:tlg0412,"Apollodorus, Carystius, 4./3. Jh. v. Chr., Apollodorus, Gelous, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg0411,"Apollodorus, of Carystus",300 BCE
urn:cts:greekLit:tlg2319,Apollodorus Cyzicenus,500 BCE
urn:cts:greekLit:tlg2295,"Apollodorus, Erythaeus, ca. 2.Jh.v.Chr",200 BCE
urn:cts:greekLit:tlg0413,"Apollodorus, Gelous, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg0548,Apollodorus,100 CE-200 CE
urn:cts:greekLit:tlg0549,"Apollodorus, of Athens",200 BCE
urn:cts:greekLit:tlg1165,"Apollodorus, of Damascus, 1st/2nd cent.",100 CE-200 CE
urn:cts:greekLit:tlg0365,"Apollodorus, Lyricus, ca. 6. Jh. v. Chr.",600 BCE
urn:cts:greekLit:tlg1166,"Apollodorus, Seleucensis, 2. Jh. v. Chr.",200 BCE
urn:cts:greekLit:tlg2451,"Apollonides, Horapius, v1. Jh",100 BCE
urn:cts:greekLit:tlg0124,"Apollonides, Smyrnaeus, 1. Jh. n. Chr.",100 BCE-0 CE
urn:cts:greekLit:tlg0345,"Apollonides, Tragicus, 3./2. Jh. v. Chr.",300 CE-200 CE
urn:cts:greekLit:tlg1170,"Apollonius, Aphrodisiensis, v3. Jh",300 BCE
urn:cts:greekLit:tlg1169,Apollonius Acharniensis,
urn:cts:greekLit:tlg1167,"Apollonius, Biographus, ca. 2. Jh. n. Chr.",200 CE?
urn:cts:greekLit:tlg0569,"Apollonius, Paradoxographus, 2. Jh. v. Chr.",200 BCE
urn:cts:greekLit:tlg0660,"Apollonius, Citieus, 1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg0082,"Apollonius, Dyscolus, 2nd cent.",200 CE
urn:cts:greekLit:tlg0550,"Apollonius, of Perga",300 BCE
urn:cts:greekLit:tlg0789,"Apollonius, Claudius,1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg0001,"Apollonius, Rhodius",300 BCE
urn:cts:greekLit:tlg1168,"Apollonius, Sophista,  fl.1. Jh.",100 CE
urn:cts:greekLit:tlg0619,"Apollonius, of Tyana",100 CE
urn:cts:greekLit:tlg0414,"Apollophanes, Comicus,5./4. Jh. v. Chr.",500 BCE-400 BCE
