work,words
urn:cts:greekLit:tlg0014.tlg022,5634
urn:cts:greekLit:tlg0014.tlg023,15419
urn:cts:greekLit:tlg0014.tlg024,14667
urn:cts:greekLit:tlg0014.tlg025,6722
urn:cts:greekLit:tlg0014.tlg026,1686
urn:cts:greekLit:tlg0014.tlg027,4575
urn:cts:greekLit:tlg0014.tlg028,1516
urn:cts:greekLit:tlg0014.tlg029,3908
urn:cts:greekLit:tlg0014.tlg030,2360
urn:cts:greekLit:tlg0014.tlg031,951
urn:cts:greekLit:tlg0014.tlg032,1913
urn:cts:greekLit:tlg0014.tlg033,2553
urn:cts:greekLit:tlg0014.tlg034,3269
urn:cts:greekLit:tlg0014.tlg035,3653
urn:cts:greekLit:tlg0014.tlg036,3972
urn:cts:greekLit:tlg0014.tlg037,3787
urn:cts:greekLit:tlg0014.tlg038,1852
urn:cts:greekLit:tlg0014.tlg039,2747
urn:cts:greekLit:tlg0014.tlg040,3914
urn:cts:greekLit:tlg0014.tlg041,1967
urn:cts:greekLit:tlg0014.tlg042,2242
urn:cts:greekLit:tlg0014.tlg043,6301
urn:cts:greekLit:tlg0014.tlg044,4217
urn:cts:greekLit:tlg0014.tlg045,5707
urn:cts:greekLit:tlg0014.tlg046,1857
urn:cts:greekLit:tlg0014.tlg047,5397
urn:cts:greekLit:tlg0014.tlg048,3524
urn:cts:greekLit:tlg0014.tlg049,4365
urn:cts:greekLit:tlg0014.tlg050,4618
urn:cts:greekLit:tlg0014.tlg051,1345
urn:cts:greekLit:tlg0014.tlg052,2122
urn:cts:greekLit:tlg0014.tlg053,2015
urn:cts:greekLit:tlg0014.tlg054,3190
urn:cts:greekLit:tlg0014.tlg055,2119
urn:cts:greekLit:tlg0014.tlg056,3309
urn:cts:greekLit:tlg0014.tlg057,4625
urn:cts:greekLit:tlg0014.tlg058,4698
urn:cts:greekLit:tlg0014.tlg059,9231
urn:cts:greekLit:tlg0014.tlg060,2545
urn:cts:greekLit:tlg0014.tlg061,3661
urn:cts:greekLit:tlg0014.tlg062,9509
urn:cts:greekLit:tlg0014.tlg063,6071
urn:cts:greekLit:tlg0015.tlg001,46751
urn:cts:greekLit:tlg0016.tlg001,184820
urn:cts:greekLit:tlg0017.tlg001,2716
urn:cts:greekLit:tlg0017.tlg002,2759
urn:cts:greekLit:tlg0017.tlg003,4447
urn:cts:greekLit:tlg0017.tlg004,1804
urn:cts:greekLit:tlg0017.tlg005,3084
urn:cts:greekLit:tlg0017.tlg006,3649
urn:cts:greekLit:tlg0017.tlg007,2802
urn:cts:greekLit:tlg0017.tlg008,3191
